LAT,LON
-50.943392,-72.935664
34.201047,-118.599931
48.839963,-3.504874
38.942855,-119.975852
19.412728,-99.168949
25.232118,55.26432
18.491493,-69.958856
25.615366,-100.349621
51.448283,-1.008425
45.431708,12.330093
-34.906592,-56.199789
10.320914,-84.4277
48.184939,16.30772
42.366027,-71.06208
45.433282,12.339448
51.109581,17.029559
35.110219,25.718994
-34.333301,-57.233299
30.157062,-85.776808
45.59868,9.158284
51.437447,-2.602633
25.025884,121.525783
52.069904,1.13142
45.4995,-122.671501
40.573674,-8.171939
51.513015,-0.140075
51.503026,0.005578
51.808333,-2.559667
19.340291,-99.190283
44.035159,5.628433
53.257762,-3.441542
-34.582712,-58.51787
48.86065,2.337705
45.05697,12.37833
42.3526,-79.325012
43.639243,-116.634303
31.200808,29.901771
45.439447,10.993688
48.375979,-68.77098
46.05293,14.503669
56.362054,-2.818593
51.012684,-114.130112
18.568154,-68.358306
25.196767,55.275177
43.703087,-116.399492
51.407333,7.188666
18.799497,98.833977
47.913508,2.097573
55.229023,-6.290874
51.825805,12.225122
32.730885,-97.389697
61.741442,9.805641
-34.472953,-57.844905
35.490096,-120.694513
37.505504,15.095386
37.941625,12.835292
63.417833,10.4055
41.40739,-92.916458
-1.31584,36.798191
26.717783,-82.26011
41.261549,0.937957
42.350028,-71.074886
41.445121,-8.294239
37.748336,-122.499312
52.544667,13.402333
40.5595,-4.685
51.50632,-0.12714
37.930658,23.751583
44.149149,12.132714
35.618166,140.219
9.905781,-83.685951
38.555366,-122.696388
50.638595,2.388689
-23.547336,-46.747888
38.888143,-77.016928
41.503242,-5.746278
-37.794796,144.958848
35.689648,139.755706
51.507246,-0.127716
41.707955,-87.713577
43.609062,3.876564
50.112041,8.68342
36.596786,-118.060455
64.151608,-21.932144
-33.027735,-71.643562
57.683,-2.133334
45.45088,9.214523
43.439957,142.44049
49.906112,1.092699
25.778368,-80.189208
43.309191,5.394287
13.36007,74.794921
18.568154,-68.358306
29.784026,-95.592856
39.872364,15.907044
37.601737,-77.585889
36.524647,-82.519093
40.183955,29.061745
48.121069,16.420955
1.365579,103.827713
38.89732,-77.037613
21.067791,-86.779031
42.674137,-72.989301
50.438265,30.536499
44.28002,-72.438569
41.127485,16.871781
37.416902,-122.006478
40.20405,-8.420999
40.706936,-74.004634
53.700161,-6.45996
24.152741,120.667616
35.796222,-78.713531
40.424056,-3.717722
43.088949,-79.07444
45.693516,9.300851
25.108373,121.361117
36.158857,-86.777744
62.549422,6.134444
44.440643,26.096649
45.058971,9.697494
24.973844,121.234397
42.98506,-85.687351
33.244726,126.571855
53.429173,-2.239773
49.908119,86.858177
48.858461,2.337555
40.714374,-74.00308
1.253311,103.814751
51.500501,-0.093598
45.350094,-80.185604
51.501583,-0.13029
37.591553,-77.450137
37.512687,-118.81113
37.786293,-122.408164
40.804356,-124.16821
-0.395504,-90.53833
51.023513,-1.313606
51.529037,-0.119175
50.099477,19.920051
42.979864,12.356829
38.974357,1.398696
41.84,23.5
43.790816,11.254062
37.00358,-121.707916
52.975831,0.629138
36.910372,137.425231
47.551969,19.052696
30.46791,-81.438217
23.142885,-82.4057
41.980421,2.821254
37.40271,-94.707031
50.065128,-5.714263
14.764186,-17.481018
42.359178,-0.384521
36.375645,-92.251853
33.584557,-116.457642
59.935269,30.327458
40.420299,-3.70577
51.544226,7.474436
37.231588,-118.652439
28.609209,77.242555
42.23716,-97.016143
44.952711,6.591496
39.97512,-75.195167
51.496086,-0.144136
43.769637,11.255643
37.4455,-122.1672
-37.817344,144.960336
40.744834,-73.447208
52.987628,-1.49249
51.493515,0.25835
36.89335,30.726013
44.824845,20.400152
42.649288,-0.05779
4.631179,-74.091796
47.784744,19.932557
40.406111,116.074676
28.248671,83.946018
40.041809,4.122619
31.305798,-95.448446
37.335981,-121.885392
34.225167,-118.064333
52.213286,21.021137
37.783333,-122.387834
52.160072,5.19638
54.607694,-2.81104
37.439704,-122.162818
40.453813,-80.001765
45.343579,7.826986
41.905179,12.155181
45.537136,-73.575439
40.422191,-104.692545
20.631882,-156.496067
-7.234423,112.719726
13.384275,103.82904
16.462097,102.824134
34.07878,-118.361715
50.851467,4.359405
43.767498,141.865425
39.28507,-76.608256
45.423365,-75.697871
50.444442,5.967206
41.289637,-74.915143
52.372979,4.891351
53.281181,-1.272718
-34.880901,-56.165439
37.52928,126.918466
42.58418,-71.803979
50.002008,-2.030673
33.229702,-96.903103
25.256786,55.349712
38.806261,-77.04743
40.378589,-75.966982
48.979357,19.062556
39.501226,-119.806616
32.748644,-117.154598
37.754288,-122.446404
46.601055,10.390027
41.390831,2.187319
44.103449,-121.769206
52.078556,-1.017866
34.447237,-77.518318
43.734268,1.637689
47.940439,1.895055
34.142537,-118.258685
41.257444,-95.936876
39.781246,-94.77983
43.725483,11.294192
52.370738,4.527289
40.113108,-75.132472
47.620411,-122.348867
-0.218803,-78.518584
47.17151,-67.91645
44.645086,10.92453
52.475592,-1.73938
48.359421,-122.332484
56.483823,84.934272
40.095276,-75.430133
51.206614,6.808476
40.733909,-74.171748
37.749968,-25.472488
59.139317,5.589294
31.850148,120.38063
41.93222,-87.658226
32.470622,-86.453336
47.046849,9.386529
28.693298,-13.835906
20.58908,96.91658
17.98695,-66.599075
35.968899,-83.920724
-0.747049,-90.714111
56.7722,-4.98299
48.637978,2.448406
41.013833,-73.755
-12.122033,-77.026627
42.477351,-83.157835
52.373267,4.891819
51.515152,-0.204609
30.121187,-94.148283
38.254859,-85.766403
39.914377,116.437439
24.225228,121.241496
-44.694894,169.133834
18.451377,-66.064417
36.012415,-115.175009
38.854292,-104.935569
55.862211,-4.248104
50.086132,14.420508
7.449624,134.472656
37.397333,-121.797334
-42.883825,147.333097
40.737159,-74.030967
28.669089,-14.011452
37.662438,141.014308
22.631786,120.295916
69.117351,-105.063682
35.011561,135.7871
-43.96953,170.445241
39.358667,-74.435667
18.471,-66.1235
55.622568,12.681655
34.839978,-92.495162
32.903443,-117.195557
64.254849,-21.130142
51.555306,7.066891
44.793165,-62.697687
53.148314,0.345726
38.684479,-77.259963
37.235,-115.811111
38.895496,-77.011199
52.525419,13.369599
54.587887,-5.846969
19.68397,96.262207
29.147627,-80.97884
51.481422,-0.14456
28.551278,77.192687
43.067884,141.362457
54.854872,-3.780412
31.804961,-96.254825
59.554561,17.99223
35.014603,135.750246
39.917208,-8.323173
28.609804,-80.599565
34.750745,-98.488912
45.400453,-75.709362
45.426166,-75.692496
-12.124928,-77.053642
38.863921,-77.082095
45.190324,-81.630134
-30.877476,153.067874
48.734342,44.510507
-31.988818,115.852918
38.854552,-77.049287
-41.11609,-73.045349
38.581672,-122.575194
34.412291,-118.556385
43.88416,125.287914
53.562833,-0.610835
49.268924,-123.118715
51.561478,-4.282093
39.760606,-104.982533
37.064021,15.292636
39.768398,-86.157997
41.939399,-87.697998
52.269129,9.55656
40.735388,-73.083543
51.509633,-0.129894
39.556802,-106.260023
40.576542,-74.579916
36.203005,29.621372
47.367664,8.536376
55.965452,-3.208522
48.414419,-123.385262
51.987736,5.926555
53.54198,9.981519
43.7675,142.480888
37.385086,-6.004939
40.815841,-73.896697
-31.955803,115.843791
-33.8749,151.062545
53.156858,4.870376
56.376206,-3.982629
22.792166,-104.0905
40.440872,-79.958839
-1.291213,36.822738
46.19314,6.725521
51.115984,0.581964
52.122739,-3.77037
-6.167179,106.823501
33.838233,-84.369034
54.312211,13.097441
19.372935,98.965873
-27.199653,153.102686
54.921716,-2.490592
45.487248,7.886161
56.933783,12.358503
46.135741,-84.788659
-29.491608,-50.739669
45.847721,6.229097
42.337606,-71.075674
47.619333,-122.192334
37.773529,-122.4646
13.746148,100.534493
30.29981,-89.756629
49.282417,-123.110969
34.093432,-118.122425
52.363692,4.897847
33.987333,-118.474167
48.866341,2.328366
37.787165,-122.387486
45.920587,6.152343
55.905585,13.837537
37.394368,-5.954246
5.936858,116.094579
51.502117,-0.119594
46.766984,15.555374
33.729711,-116.532835
32.878872,-117.234637
37.83853,-25.790748
48.197971,11.61033
47.335216,1.0643
66.701366,13.732452
51.506411,-0.080713
53.469861,-2.291164
33.820996,-84.367843
10.631506,103.498077
33.432103,-111.941993
34.950582,135.818753
37.002868,-110.173942
54.080125,13.425378
-27.581329,-48.548583
45.305017,-75.612201
45.788594,-78.387451
52.265425,5.469131
41.94334,-87.649151
34.150205,-83.813753
-37.8115,144.976167
0.611102,37.552642
-37.822751,144.981808
54.776175,-1.578555
40.482095,-3.363897
43.650977,-79.386402
41.891032,-87.640342
42.682687,-0.118961
48.766825,9.262161
49.399007,1.477103
32.428635,-81.757794
41.818776,-87.95975
51.502963,-0.119491
49.29836,-121.262798
46.247938,20.204758
28.604487,-81.385527
27.93378,-82.298167
33.839166,-117.536667
35.304816,139.510935
25.793152,-80.129825
1.294812,103.85969
33.797765,78.603572
22.754456,120.313317
49.754349,6.637179
47.625271,-122.314589
43.184902,16.521377
56.822196,-5.104458
44.662033,8.586317
38.801323,-77.063748
45.088368,13.630084
-37.874785,175.37527
22.305728,114.253455
48.870134,2.323608
8.018976,98.831119
48.763996,9.170711
51.908709,4.487721
11.553146,104.90283
37.795891,-122.273372
39.961086,-75.133856
51.5078,-0.0314
48.098148,-4.208215
37.717737,-119.679778
41.886372,12.492077
45.85287,-74.579411
-23.211847,-44.717445
51.472669,-0.427093
35.55206,139.783859
41.367678,2.190055
22.295449,114.215583
-34.608044,-58.365095
41.364441,2.155594
42.381158,-71.137847
19.134319,-155.505138
40.895608,12.964382
45.479091,-78.396244
53.25823,-6.747064
18.568154,-72.350463
33.88912,-117.783104
47.615333,-122.343833
48.649003,-2.02732
44.633299,-122.928943
34.710009,135.472412
35.056171,-85.311996
50.819003,-0.130664
-34.967269,-54.937221
51.322353,-116.18557
53.568459,-1.586945
31.602246,-8.024718
21.307927,-157.845382
55.822116,37.672805
45.431723,-122.500745
43.133851,-72.444056
50.883813,-1.734778
51.922864,4.339964
38.479449,-8.980368
